Year,Region,Region code,Country,Country Code,Elements,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,"First administrative level
","Second administrative level
",Coverage subscores,"Machine readable
",Non-proprietary,"Download options
","Metadata available
","Terms of use
",Openness subscores,Overall subscores
2022,Southern Europe,EUZ,Albania,ALB,Population & vital statistics,100.0,100.0,100.0,50.0,0.0,70.0,50.0,100.0,50.0,50.0,0.0,50.0,60.0
2022,Southern Europe,EUZ,Albania,ALB,Education facilities,50.0,50.0,50.0,50.0,0.0,40.0,50.0,50.0,0.0,50.0,0.0,30.0,35.0
2022,Southern Europe,EUZ,Albania,ALB,Education outcomes,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,50.0
2022,Southern Europe,EUZ,Albania,ALB,Health facilities,50.0,50.0,50.0,0.0,0.0,30.0,100.0,100.0,100.0,50.0,0.0,70.0,50.0
2022,Southern Europe,EUZ,Albania,ALB,Health outcomes,50.0,50.0,50.0,0.0,0.0,30.0,100.0,100.0,100.0,50.0,0.0,70.0,50.0
2022,Southern Europe,EUZ,Albania,ALB,Reproductive health,100.0,100.0,50.0,50.0,0.0,60.0,50.0,100.0,50.0,50.0,0.0,50.0,55.0
2022,Southern Europe,EUZ,Albania,ALB,Food security & nutrition,100.0,100.0,50.0,50.0,0.0,75.0,0.0,100.0,50.0,50.0,0.0,40.0,55.6
2022,Southern Europe,EUZ,Albania,ALB,Gender statistics,100.0,100.0,50.0,50.0,0.0,60.0,50.0,100.0,50.0,50.0,0.0,50.0,55.0
2022,Southern Europe,EUZ,Albania,ALB,Crime & justice,100.0,100.0,100.0,50.0,0.0,70.0,50.0,100.0,50.0,50.0,0.0,50.0,60.0
2022,Southern Europe,EUZ,Albania,ALB,Poverty & income,100.0,100.0,50.0,100.0,50.0,80.0,50.0,100.0,50.0,50.0,0.0,50.0,65.0
2022,Southern Europe,EUZ,Albania,ALB,Social Statistics subscores,80.0,80.0,60.0,45.0,11.1,56.1,55.0,95.0,55.0,50.0,0.0,51.0,53.5
2022,Southern Europe,EUZ,Albania,ALB,National accounts,100.0,100.0,100.0,0.0,0.0,75.0,100.0,100.0,100.0,50.0,0.0,70.0,72.2
2022,Southern Europe,EUZ,Albania,ALB,Labor,100.0,100.0,100.0,50.0,0.0,70.0,50.0,100.0,50.0,50.0,0.0,50.0,60.0
2022,Southern Europe,EUZ,Albania,ALB,Price indexes,100.0,100.0,100.0,0.0,0.0,75.0,100.0,100.0,100.0,50.0,0.0,70.0,72.2
2022,Southern Europe,EUZ,Albania,ALB,Government finance,100.0,100.0,100.0,0.0,0.0,75.0,100.0,100.0,0.0,50.0,0.0,50.0,61.1
2022,Southern Europe,EUZ,Albania,ALB,Money & banking,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0,60.0,75.0
