Year,Region,Region Code,Country,Country Code,Overall score
2022,Southern Europe,EUZ,Albania,ALB,59.7
2022,Northern Africa,AFN,Algeria,DZA,29.7
2022,Southern Europe,EUZ,Andorra,AND,60
2022,Middle Africa,AFM,Angola,AGO,35.1
2022,Caribbean,AMC,Anguilla,AIA,21.3
2022,Caribbean,AMC,Antigua and Barbuda,ATG,30.1
2022,South America,AMZ,Argentina,ARG,42.8
2022,Western Asia,ASW,Armenia,ARM,57.2
2022,Caribbean,AMC,Aruba,ABW,33.8
2022,Australia and New Zealand,OAZ,Australia,AUS,68.2
2022,Western Europe,EUW,Austria,AUT,61.6
2022,Western Asia,ASW,Azerbaijan,AZE,56.9
2022,Western Asia,ASW,Bahrain,BHR,58.2
2022,Southern Asia,ASZ,Bangladesh,BGD,38.2
2022,Caribbean,AMC,Barbados,BRB,21.6
2022,Eastern Europe,EUE,Belarus,BLR,58.7
2022,Western Europe,EUW,Belgium,BEL,57.4
2022,Central America,AMM,Belize,BLZ,45.4
2022,Western Africa,AFW,Benin,BEN,51.1
2022,Southern Asia,ASZ,Bhutan,BTN,43.6
2022,South America,AMZ,Bolivia,BOL,52.4
2022,Southern Europe,EUZ,Bosnia and Herzegovina,BIH,45.3
2022,Southern Africa,AFZ,Botswana,BWA,50.8
2022,South America,AMZ,Brazil,BRA,64.4
2022,South-Eastern Asia,ASE,Brunei Darussalam,BRN,55.3
2022,Eastern Europe,EUE,Bulgaria,BGR,68.1
2022,Western Africa,AFW,Burkina Faso,BFA,51.1
2022,Eastern Africa,AFE,Burundi,BDI,40.8
2022,Western Africa,AFW,Cabo Verde,CPV,44
2022,South-Eastern Asia,ASE,Cambodia,KHM,36.3
2022,Middle Africa,AFM,Cameroon,CMR,44
2022,North America,AMN,Canada,CAN,75.3
2022,Middle Africa,AFM,Central African Republic,CAF,26.8
2022,Middle Africa,AFM,Chad,TCD,28.3
2022,South America,AMZ,Chile,CHL,55.2
2022,Eastern Asia,ASF,China,CHN,37
2022,South America,AMZ,Colombia,COL,49.6
2022,Middle Africa,AFM,"Congo, Dem. Rep.",COD,30.7
2022,Central America,AMM,Costa Rica,CRI,56.8
2022,Western Africa,AFW,Cote d'Ivoire,CIV,19
2022,Southern Europe,EUZ,Croatia,HRV,61.5
2022,Caribbean,AMC,Cuba,CUB,37.3
2022,Western Asia,ASW,Cyprus,CYP,57
2022,Eastern Europe,EUE,Czech Republic,CZE,68.5
2022,Northern Europe,EUN,Denmark,DNK,86.3
2022,Eastern Africa,AFE,Djibouti,DJI,29.7
2022,Caribbean,AMC,Dominica,DMA,29.8
2022,Caribbean,AMC,Dominican Republic,DOM,56.3
2022,South America,AMZ,Ecuador,ECU,64.8
2022,Northern Africa,AFN,Egypt,EGY,40.8
2022,Central America,AMM,El Salvador,SLV,40
2022,Middle Africa,AFM,Equatorial Guinea,GNQ,30.8
2022,Northern Europe,EUN,Estonia,EST,78.4
2022,Southern Africa,AFZ,Eswatini,SWZ,16.3
2022,Eastern Africa,AFE,Ethiopia,ETH,40.7
2022,Pacific Islands,OPI,Fiji,FJI,41.8
2022,Northern Europe,EUN,Finland,FIN,85.2
