year,country,country_code,data_categories,element,score,income_group,gni_pc,Median scores by income group,gni_logged,gni text
2022,Andorra,AND,All Categories,Overall score,60,High income,46530,65.45,10.747852544838695,GNI per capita (US$) is 46530
2022,Antigua and Barbuda,ATG,All Categories,Overall score,30.1,High income,15780,65.45,9.666498594399865,GNI per capita (US$) is 15780
2022,Aruba,ABW,All Categories,Overall score,33.8,High income,29390,65.45,10.288409759412962,GNI per capita (US$) is 29390
2022,Australia,AUS,All Categories,Overall score,68.2,High income,57170,65.45,10.953784564258017,GNI per capita (US$) is 57170
2022,Austria,AUT,All Categories,Overall score,61.6,High income,52760,65.45,10.873508606831251,GNI per capita (US$) is 52760
2022,Bahrain,BHR,All Categories,Overall score,58.2,High income,22950,65.45,10.04107321548869,GNI per capita (US$) is 22950
2022,Barbados,BRB,All Categories,Overall score,21.6,High income,16900,65.45,9.735068900911164,GNI per capita (US$) is 16900
2022,Belgium,BEL,All Categories,Overall score,57.4,High income,50490,65.45,10.829530575852962,GNI per capita (US$) is 50490
2022,Brunei Darussalam,BRN,All Categories,Overall score,55.3,High income,30320,65.45,10.319562839756308,GNI per capita (US$) is 30320
2022,Canada,CAN,All Categories,Overall score,75.3,High income,48310,65.45,10.785393857548453,GNI per capita (US$) is 48310
2022,Chile,CHL,All Categories,Overall score,55.2,High income,14780,65.45,9.601030194502194,GNI per capita (US$) is 14780
2022,Croatia,HRV,All Categories,Overall score,61.5,High income,17630,65.45,9.777357275391916,GNI per capita (US$) is 17630
2022,Cyprus,CYP,All Categories,Overall score,57,High income,28470,65.45,10.256606180272083,GNI per capita (US$) is 28470
2022,Czech Republic,CZE,All Categories,Overall score,68.5,High income,24430,65.45,10.103567164251785,GNI per capita (US$) is 24430
2022,Denmark,DNK,All Categories,Overall score,86.3,High income,68300,65.45,11.131665045558881,GNI per capita (US$) is 68300
2022,Estonia,EST,All Categories,Overall score,78.4,High income,26460,65.45,10.183389437668946,GNI per capita (US$) is 26460
2022,Finland,FIN,All Categories,Overall score,85.2,High income,53510,65.45,10.88762383130535,GNI per capita (US$) is 53510
2022,France,FRA,All Categories,Overall score,68.4,High income,44160,65.45,10.695574680950976,GNI per capita (US$) is 44160
2022,Germany,DEU,All Categories,Overall score,78.1,High income,51660,65.45,10.852439066649831,GNI per capita (US$) is 51660
2022,Greece,GRC,All Categories,Overall score,59.1,High income,20000,65.45,9.903487552536127,GNI per capita (US$) is 20000
2022,Greenland,GRL,All Categories,Overall score,56.9,High income,34800,65.45,10.457372665762566,GNI per capita (US$) is 34800
2022,"Hong Kong SAR, China",HKG,All Categories,Overall score,82.4,High income,54460,65.45,10.90522176622775,GNI per capita (US$) is 54460
2022,Hungary,HUN,All Categories,Overall score,63,High income,17740,65.45,9.78357725586357,GNI per capita (US$) is 17740
