region,Overall score_2020,Overall score_2022,overall_change
South-Eastern Asia,50.7,54.4,3.6999999999999957
Central Asia,48.4,50.9,2.5
Northern Europe,75.44999999999999,77.65,2.200000000000017
South America,52.7,54.8,2.0999999999999943
Western Asia,55.849999999999994,57.650000000000006,1.8000000000000114
Central America,40.25,42,1.75
Western Africa,43.1,43.9,0.7999999999999972
Australia and New Zealand,66.5,67.2,0.7000000000000028
North America,70.4,70.7,0.29999999999999716
Eastern Europe,68,68.3,0.29999999999999716
Southern Europe,60.1,60,-0.10000000000000142
Southern Asia,43.8,43.2,-0.5999999999999943
Northern Africa,41.6,40.8,-0.8000000000000043
Eastern Africa,40.599999999999994,39.6,-0.9999999999999929
Eastern Asia,68.2,67.1,-1.1000000000000085
Western Europe,66.9,65.55000000000001,-1.3499999999999943
Pacific Islands,33.3,30.95,-2.349999999999998
Caribbean,38.2,35.5,-2.700000000000003
Middle Africa,37.8,34.4,-3.3999999999999986
Southern Africa,47,39.4,-7.600000000000001
