country,country_code,ogdi_overall,non_ogdi_overall
Albania,ALB,50.91743119266055,67.52727272727273
Algeria,DZA,20.18348623853211,39.627272727272725
Andorra,AND,52.04081632653062,65.61818181818182
Angola,AGO,30.275229357798167,40.78181818181818
Anguilla,AIA,7.653061224489797,32.4
Antigua and Barbuda,ATG,26.02040816326531,39.85454545454545
Argentina,ARG,38.07339449541285,49.8
Armenia,ARM,47.706422018348626,64.08181818181818
Aruba,ABW,25,44.46363636363636
Australia,AUS,66.5137614678899,71.08181818181818
Austria,AUT,58.71559633027523,62.79090909090909
Azerbaijan,AZE,46.788990825688074,64.86363636363636
Bahrain,BHR,57.6530612244898,62.90909090909091
Bangladesh,BGD,30.733944954128443,43.663636363636364
Barbados,BRB,5.102040816326531,38.08181818181818
Belarus,BLR,57.79816513761468,57.27272727272727
Belgium,BEL,36.69724770642202,75.32727272727273
Belize,BLZ,44.03669724770643,48.42727272727273
Benin,BEN,51.8348623853211,53.61818181818182
Bhutan,BTN,44.95412844036697,43.61818181818182
Bolivia,BOL,48.165137614678905,54.163636363636364
Bosnia and Herzegovina,BIH,37.61467889908257,52.28181818181818
Botswana,BWA,49.54128440366973,55.59090909090909
Brazil,BRA,57.79816513761468,69.30909090909091
Brunei Darussalam,BRN,45.87155963302752,63.86363636363637
Bulgaria,BGR,65.59633027522936,70.28181818181818
Burkina Faso,BFA,46.788990825688074,56.78181818181818
Burundi,BDI,34.86238532110092,46.47272727272727
Cabo Verde,CPV,41.284403669724774,49.6
Cambodia,KHM,43.11926605504588,30.472727272727273
Cameroon,CMR,48.165137614678905,40.64545454545455
Canada,CAN,72.4770642201835,79.16363636363636
Central African Republic,CAF,28.89908256880734,27.40909090909091
Chad,TCD,31.19266055045872,29.963636363636365
Chile,CHL,44.4954128440367,60.60909090909091
China,CHN,21.55963302752294,50.49090909090909
Colombia,COL,34.862385321100916,63.69090909090909
"Congo, Dem. Rep.",COD,32.56880733944954,32.11818181818182
Costa Rica,CRI,60.09174311926606,54.04545454545455
Cote d'Ivoire,CIV,20.642201834862387,16.727272727272727
Croatia,HRV,48.165137614678905,73.05454545454545
Cuba,CUB,31.651376146788994,40.154545454545456
Cyprus,CYP,54.587155963302756,63.981818181818184
Czech Republic,CZE,54.587155963302756,78.7090909090909
Denmark,DNK,82.56880733944955,90.7909090909091
Djibouti,DJI,30.275229357798167,31.28181818181818
Dominica,DMA,15.816326530612246,43.45454545454545
Dominican Republic,DOM,54.587155963302756,59.41818181818182
Ecuador,ECU,70.64220183486239,61.7
Egypt,EGY,35.321100917431195,43.99090909090909
El Salvador,SLV,38.07339449541285,45.6
Equatorial Guinea,GNQ,25.22935779816514,38.43636363636364
Estonia,EST,63.76146788990826,88.68181818181819
Eswatini,SWZ,21.55963302752294,12.127272727272727
Ethiopia,ETH,41.284403669724774,43.345454545454544
Fiji,FJI,32.11009174311927,50.445454545454545
Finland,FIN,80.73394495412845,88.10000000000001
France,FRA,63.76146788990826,74.5090909090909
Gabon,GAB,31.651376146788994,41.41818181818182
Georgia,GEO,67.88990825688074,75.05454545454546
Germany,DEU,70.18348623853211,84.92727272727272
Ghana,GHA,39.44954128440367,43.3
Greece,GRC,59.633027522935784,60.21818181818182
Greenland,GRL,62.38532110091744,56.1
Grenada,GRD,0,32.97272727272727
Guatemala,GTM,37.1559633027523,29.87272727272727
Guinea,GIN,44.95412844036698,45.981818181818184
Guyana,GUY,34.403669724770644,38.10909090909091
Haiti,HTI,0.9174311926605505,6.5636363636363635
Honduras,HND,44.03669724770643,29.718181818181815
"Hong Kong SAR, China",HKG,77.04081632653062,89.21818181818182
Hungary,HUN,56.88073394495413,69.02727272727273
Iceland,ISL,47.247706422018354,57.63636363636364
India,IND,43.11926605504588,60.46363636363636
Indonesia,IDN,62.38532110091744,76.84545454545454
Iraq,IRQ,45.87155963302752,38.06363636363636
Ireland,IRL,66.5137614678899,76.05454545454546
Israel,ISR,60.550458715596335,70.9
Italy,ITA,62.84403669724771,73.5909090909091
Jamaica,JAM,53.21100917431193,62.41818181818182
Japan,JPN,65.13761467889908,71.5909090909091
Jordan,JOR,60.09174311926606,72.96363636363637
Kazakhstan,KAZ,62.38532110091744,64.75454545454545
Kenya,KEN,40.36697247706422,42.654545454545456
Kiribati,KIR,35.714285714285715,30.754545454545454
"Korea, Rep.",KOR,60.550458715596335,76.08181818181818
Kosovo,XKX,44.95412844036697,55.86363636363637
Kuwait,KWT,36.69724770642202,44.09090909090909
Kyrgyz Republic,KGZ,50.45871559633028,50.46363636363636
Lao PDR,LAO,43.57798165137615,50.127272727272725
Latvia,LVA,67.88990825688074,84.56363636363636
Lebanon,LBN,27.522935779816514,38.46363636363636
Lesotho,LSO,47.247706422018354,32.61818181818182
Liberia,LBR,37.61467889908257,38.25454545454545
Libya,LBY,16.972477064220186,25.772727272727273
Liechtenstein,LIE,56.12244897959184,70.4090909090909
Lithuania,LTU,63.76146788990826,77.7
Luxembourg,LUX,54.587155963302756,78.32727272727273
"Macao SAR, China",MAC,42.34693877551021,50.590909090909086
Madagascar,MDG,35.77981651376147,32.69090909090909
Malawi,MWI,44.95412844036697,33.872727272727275
Malaysia,MYS,60.550458715596335,58.554545454545455
Maldives,MDV,46.93877551020409,44.39090909090909
Mali,MLI,39.90825688073395,38.945454545454545
Malta,MLT,42.85714285714286,60.054545454545455
Marshall Islands,MHL,35.20408163265306,22.863636363636363
Mauritania,MRT,33.48623853211009,50.04545454545455
Mauritius,MUS,44.03669724770643,60.69090909090909
Mexico,MEX,71.10091743119267,70.47272727272727
"Micronesia, Fed. Sts.",FSM,17.346938775510207,35.24545454545454
Moldova,MDA,66.05504587155964,83.93636363636364
Monaco,MCO,21.93877551020408,26.336363636363636
Mongolia,MNG,77.06422018348624,86.50909090909092
Montenegro,MNE,55.04587155963303,46.60909090909091
Morocco,MAR,61.92660550458716,72.00909090909092
Mozambique,MOZ,39.44954128440367,34.70909090909091
Myanmar,MMR,51.8348623853211,51.59090909090909
Namibia,NAM,34.86238532110092,39.054545454545455
Nauru,NRU,12.755102040816329,7.963636363636364
Nepal,NPL,37.61467889908257,47.236363636363635
Netherlands,NLD,71.55963302752293,90.28181818181818
New Zealand,NZL,64.67889908256882,67.45454545454545
Nicaragua,NIC,28.89908256880734,52.018181818181816
Niger,NER,35.779816513761475,37.06363636363636
Nigeria,NGA,46.788990825688074,45.41818181818182
North Macedonia,MKD,54.587155963302756,70.68181818181819
