element,ogdi,year,total_median
Coverage subscore,OGDI,2016,30.555555555555554
Coverage subscore,non-OGDI,2016,48.481818181818184
Coverage subscore,OGDI,2017,31.48148148148148
Coverage subscore,non-OGDI,2017,49.77272727272727
Coverage subscore,OGDI,2018,35.18518518518518
Coverage subscore,non-OGDI,2018,55.68181818181818
Coverage subscore,OGDI,2020,41.666666666666664
Coverage subscore,non-OGDI,2020,61.663636363636364
Coverage subscore,OGDI,2022,42.59259259259259
Coverage subscore,non-OGDI,2022,58.79090909090909
Openness subscore,OGDI,2016,32.727272727272734
Openness subscore,non-OGDI,2016,37.27272727272727
Openness subscore,OGDI,2017,38.18181818181819
Openness subscore,non-OGDI,2017,41.81818181818182
Openness subscore,OGDI,2018,40.909090909090914
Openness subscore,non-OGDI,2018,44.54545454545455
Openness subscore,OGDI,2020,50.909090909090914
Openness subscore,non-OGDI,2020,56.36363636363637
Openness subscore,OGDI,2022,53.63636363636364
Openness subscore,non-OGDI,2022,54.54545454545455
Overall score,OGDI,2016,31.19266055045872
Overall score,non-OGDI,2016,42.481818181818184
Overall score,OGDI,2017,34.183673469387756
Overall score,non-OGDI,2017,44.96363636363636
Overall score,OGDI,2018,38.07339449541285
Overall score,non-OGDI,2018,49.518181818181816
Overall score,OGDI,2020,46.3302752293578
Overall score,non-OGDI,2020,57.25454545454546
Overall score,OGDI,2022,48.165137614678905
Overall score,non-OGDI,2022,54.872727272727275
