country,country_code,region,macro_region,2022,2020,score_change
Ethiopia,ETH,Eastern Africa,Africa,40.7,20.1,20.6
Mozambique,MOZ,Eastern Africa,Africa,36.8,26.6,10.199999999999996
Somalia,SOM,Eastern Africa,Africa,34.3,24.5,9.799999999999997
Kenya,KEN,Eastern Africa,Africa,45.5,42.6,2.8999999999999986
Burundi,BDI,Eastern Africa,Africa,40.7,40,0.7000000000000028
Djibouti,DJI,Eastern Africa,Africa,29.4,29.3,0.09999999999999787
Tanzania,TZA,Eastern Africa,Africa,54.2,56.1,-1.8999999999999986
Malawi,MWI,Eastern Africa,Africa,38.3,40.4,-2.1000000000000014
Seychelles,SYC,Eastern Africa,Africa,38,40.8,-2.799999999999997
Uganda,UGA,Eastern Africa,Africa,45.6,48.9,-3.299999999999997
Rwanda,RWA,Eastern Africa,Africa,59.4,64.6,-5.199999999999996
Mauritius,MUS,Eastern Africa,Africa,51.9,57.2,-5.300000000000004
Zimbabwe,ZWE,Eastern Africa,Africa,42.3,48.1,-5.800000000000004
Madagascar,MDG,Eastern Africa,Africa,33.1,39.8,-6.699999999999996
South Sudan,SSD,Eastern Africa,Africa,8.5,20.1,-11.600000000000001
Zambia,ZMB,Eastern Africa,Africa,33.1,46.3,-13.199999999999996
Gabon,GAB,Middle Africa,Africa,33.3,24.3,8.999999999999996
Chad,TCD,Middle Africa,Africa,26.6,19.2,7.400000000000002
Sao Tome and Principe,STP,Middle Africa,Africa,38.7,37.8,0.9000000000000057
Equatorial Guinea,GNQ,Middle Africa,Africa,30.8,30.1,0.6999999999999993
Cameroon,CMR,Middle Africa,Africa,43.8,44.6,-0.8000000000000043
Angola,AGO,Middle Africa,Africa,34.8,41.4,-6.600000000000001
"Congo, Dem. Rep.",COD,Middle Africa,Africa,32.9,47.6,-14.700000000000003
Morocco,MAR,Northern Africa,Africa,68.7,64.7,4
Libya,LBY,Northern Africa,Africa,22.6,20,2.6000000000000014
Tunisia,TUN,Northern Africa,Africa,57,54.9,2.1000000000000014
Egypt,EGY,Northern Africa,Africa,41,41.6,-0.6000000000000014
Algeria,DZA,Northern Africa,Africa,29.7,31.9,-2.1999999999999993
Eswatini,SWZ,Southern Africa,Africa,15.4,9.5,5.9
Botswana,BWA,Southern Africa,Africa,51.2,47,4.200000000000003
South Africa,ZAF,Southern Africa,Africa,52.6,52,0.6000000000000014
Namibia,NAM,Southern Africa,Africa,37.6,41,-3.3999999999999986
Lesotho,LSO,Southern Africa,Africa,38.4,47.4,-9
Togo,TGO,Western Africa,Africa,42.1,33.4,8.700000000000003
Mauritania,MRT,Western Africa,Africa,41.1,33.5,7.600000000000001
Sierra Leone,SLE,Western Africa,Africa,46.1,41.3,4.800000000000004
Niger,NER,Western Africa,Africa,35.7,33.1,2.6000000000000014
Guinea,GIN,Western Africa,Africa,45.5,43.1,2.3999999999999986
Ghana,GHA,Western Africa,Africa,40.9,39.1,1.7999999999999972
Liberia,LBR,Western Africa,Africa,39.5,38.2,1.2999999999999972
The Gambia,GMB,Western Africa,Africa,45.5,46.1,-0.6000000000000014
Benin,BEN,Western Africa,Africa,51.1,52.3,-1.1999999999999957
Senegal,SEN,Western Africa,Africa,47.4,49.3,-1.8999999999999986
Cabo Verde,CPV,Western Africa,Africa,44.6,46.7,-2.1000000000000014
Burkina Faso,BFA,Western Africa,Africa,47.8,50.9,-3.1000000000000014
Mali,MLI,Western Africa,Africa,39.5,43.3,-3.799999999999997
Nigeria,NGA,Western Africa,Africa,44.5,49.8,-5.299999999999997
Cote d'Ivoire,CIV,Western Africa,Africa,20.3,39.7,-19.400000000000002
Anguilla,AIA,Caribbean,America,22,12.2,9.8
St. Kitts and Nevis,KNA,Caribbean,America,41.4,34.1,7.299999999999997
Trinidad and Tobago,TTO,Caribbean,America,34.3,27.2,7.099999999999998
Haiti,HTI,Caribbean,America,3.7,3.6,0.10000000000000009
Jamaica,JAM,Caribbean,America,60.7,61.6,-0.8999999999999986
St. Vincent & Grenadines,VCT,Caribbean,America,46.8,49.1,-2.3000000000000043
The Bahamas,BHS,Caribbean,America,32.8,35.5,-2.700000000000003
Dominican Republic,DOM,Caribbean,America,55,58.6,-3.6000000000000014
Antigua and Barbuda,ATG,Caribbean,America,30.3,35.8,-5.4999999999999964
Cuba,CUB,Caribbean,America,40.4,48.3,-7.899999999999999
St. Lucia,LCA,Caribbean,America,52.3,61.9,-9.600000000000001
Dominica,DMA,Caribbean,America,30.4,40.6,-10.200000000000003
Belize,BLZ,Central America,America,44.5,39.7,4.799999999999997
Honduras,HND,Central America,America,40.7,37.6,3.1000000000000014
